Basecluster-amount;Time;No. Clusters;No. Base Clusters;Precision;Recall;F-Measure;Precision 0;Precision 1;Precision 2;Precision 3;Precision 4;Precision 5;Recall 0;Recall 1;Recall 2;Recall 3;Recall 4;Recall 5;F-Measure 0;F-Measure 1;F-Measure 2;F-Measure 3;F-Measure 4;F-Measure 5
7500;43.65282702445984;6389;7500;0.9825520833333464;0.8312500000000108;0.8455136286290768;0.5648771325716074;0.008295507904210362;0.005634684614180623;0.010799812177179527;0.015808420723117857;0.39458444200970416;0.8400597907324364;0.004484304932735426;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.1375186846038864;0.6755186768978519;0.005821616871704745;0.0058017727639000805;0.007696919837695386;0.008676510067114094;0.2039557022552067
8000;49.37283205986023;6839;8000;0.9833333333333465;0.8395833333333443;0.8532749715383338;0.5575376517034654;0.0084807720426963;0.005848808305307793;0.010674075157186724;0.015791782424331043;0.40166691036701274;0.8415545590433483;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.13452914798206278;0.6707182686392384;0.0070135131049910825;0.005913223445930963;0.007664746105285262;0.008674002088185688;0.20155279541082802
8500;55.58683800697327;7276;8500;0.9843750000000132;0.8406250000000111;0.8543166382050004;0.5599230346344145;0.008933479934029686;0.006871907641561297;0.010445299615173173;0.01594282572842221;0.3978834524463991;0.8430493273542601;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.13303437967115098;0.6729180852138692;0.0071636198322059825;0.006394475173450139;0.007604943213088507;0.008696630055853357;0.19939875843500746
9000;62.159706115722656;7699;9000;0.9843750000000132;0.8406250000000111;0.8543166382050004;0.5585140927393168;0.0092219768801143;0.006884010910507858;0.010001298869983116;0.01571632679568775;0.39966229380439017;0.8430493273542601;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.13303437967115098;0.6718995707954746;0.00725461396002299;0.006399710201802183;0.007483993244967136;0.008662579981207213;0.19962139048971397
9500;68.42980408668518;8122;9500;0.9843750000000132;0.8427083333333444;0.8563652493161115;0.5625461708938685;0.008987934006402364;0.00677173110071411;0.009603545924649102;0.015390297956168432;0.3967003201181975;0.8430493273542601;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.13303437967115098;0.6748088928413327;0.007181063633569013;0.006350764256744078;0.007369788591000354;0.00861230008698423;0.19924985477922272
10000;77.5736768245697;8563;10000;0.9854166666666799;0.8458333333333445;0.8585477889986513;0.5637043092374168;0.008641831133948383;0.006539764101366343;0.009108957141188836;0.015181595235314727;0.3968235431507649;0.8475336322869955;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.12855007473841554;0.6770769785678344;0.00706798156593997;0.006246862624797814;0.007219381262003378;0.008579300786985862;0.19419207357592833
11000;96.00990796089172;9448;11000;0.9854166666666799;0.8458333333333445;0.8585477889986513;0.5813928873835732;0.00825571549534293;0.006138865368331922;0.008784928027095682;0.01375952582557155;0.38166807790008467;0.8475336322869955;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.005979073243647235;0.12855007473841554;0.689678606767862;0.00693533687509725;0.006057915763636838;0.007115378433116515;0.008335871499334733;0.19232345884050006
12000;113.12211203575134;10309;12000;0.98697916666668;0.847916666666678;0.8609783445542067;0.5856048113299059;0.007760209525657193;0.0057231545251721794;0.008148220001940052;0.012804345717334367;0.3799592588999903;0.8535127055306427;0.005979073243647235;0.005979073243647235;0.004484304932735426;0.004484304932735426;0.12556053811659193;0.6946217262094275;0.006754189708303432;0.005848315511665655;0.0057849247615440235;0.006642344949050195;0.18874785633093347
13000;137.25700497627258;11381;13000;0.9890625000000133;0.8500000000000114;0.8630616778875401;0.5829891925138388;0.007029259291802126;0.005184078727704068;0.007380722256392232;0.011598277831473509;0.3858184693787892;0.8565022421524664;0.005979073243647235;0.005979073243647235;0.004484304932735426;0.004484304932735426;0.12257100149476831;0.6937610582650129;0.006461774564839869;0.005553267839284664;0.005578985820077707;0.006467893279760884;0.18603908576500952
14000;167.8402259349823;12410;14000;0.9890625000000133;0.8500000000000114;0.8630616778875401;0.5823529411764706;0.0064464141821112;0.004754230459307011;0.00676873489121676;0.010636583400483481;0.38904109589041097;0.8565022421524664;0.005979073243647235;0.005979073243647235;0.004484304932735426;0.004484304932735426;0.12257100149476831;0.6933103562065741;0.006203955021326096;0.005296764709182929;0.005394643889281355;0.00630884672370119;0.18641137295081964
15000;196.03386807441711;13412;15000;0.9890625000000133;0.8500000000000114;0.8630616778875401;0.5738890545779899;0.005964807634953773;0.004399045630778408;0.006337608112138383;0.009916492693110648;0.39949299135102895;0.8565022421524664;0.005979073243647235;0.005979073243647235;0.004484304932735426;0.004484304932735426;0.12257100149476831;0.6872766397787067;0.0059719319199761116;0.005068782955143419;0.00525226310748602;0.006175849179262149;0.1875871797751034
16000;212.43395805358887;13895;15465;0.9890625000000133;0.8510416666666781;0.864096822939713;0.563727959697733;0.007124865059373876;0.004462036703850306;0.007196833393306945;0.010003598416696654;0.40748470672903925;0.8565022421524664;0.007473841554559043;0.005979073243647235;0.004484304932735426;0.0029895366218236174;0.12257100149476831;0.6799380280973227;0.007295182232178386;0.0051103463908178616;0.005525625086337892;0.00460337304708522;0.18845494095307988
17000;211.91633701324463;13895;15465;0.9890625000000133;0.8510416666666781;0.864096822939713;0.563727959697733;0.007124865059373876;0.004462036703850306;0.007196833393306945;0.010003598416696654;0.40748470672903925;0.8565022421524664;0.007473841554559043;0.005979073243647235;0.004484304932735426;0.0029895366218236174;0.12257100149476831;0.6799380280973227;0.007295182232178386;0.0051103463908178616;0.005525625086337892;0.00460337304708522;0.18845494095307988
